	logFC	AveExpr	t	P.Value	FDR	B
MICAL2	1.021700541	10.24059452	-6.269000501	0.000340679	0.067350223	0.752905814
ENTPD2	-1.256684365	8.957546517	6.264688723	0.000342163	0.067350223	0.748798308
CCDC28A	-1.105741241	9.451332822	6.247176714	0.000348262	0.067621493	0.732088605
HMGCS1	1.069525407	9.950786418	-6.240691202	0.000350552	0.067621493	0.72588908
STOX2	1.295543772	6.691961518	-6.226686582	0.000355554	0.067792155	0.712481427
C20orf96	-1.070142634	9.956327585	6.212137394	0.000360834	0.067792155	0.698522568
DNAH1	-0.968428777	6.829855931	6.209011482	0.00036198	0.067792155	0.695519513
CA9	-1.084763649	10.11144606	6.192388393	0.000368142	0.068110018	0.679526093
HNF1A-AS1	-0.965795597	12.11563444	6.184932459	0.000370944	0.068110018	0.672339627
DACT3	1.251474241	5.670643448	-6.145262226	0.000386256	0.068110018	0.6339678
PAQR9	1.383730711	6.178388665	-6.130870857	0.000391983	0.068110018	0.619990977
CREB3L3	-1.068151357	13.20631524	6.120891975	0.00039601	0.068110018	0.610281832
CTSK	-1.04284507	8.821294834	6.119550141	0.000396555	0.068110018	0.608975161
GRAMD1B	-1.115939059	8.784786237	6.118498218	0.000396983	0.068110018	0.60795062
RBM15	0.91607928	9.288929209	-6.114143461	0.00039876	0.068110018	0.603707504
EN2	1.090526926	6.408479416	-6.104980986	0.000402527	0.068110018	0.594770878
AP1M2	1.29828	10.35197723	-6.102596448	0.000403514	0.068110018	0.592443105
ASB4	1.852312457	7.243002558	-6.092200083	0.000407848	0.068110018	0.582284513
H2BC12	1.147351249	8.984396619	-6.090067998	0.000408744	0.068110018	0.580199236
BAAT	0.931481539	9.223302515	-6.088085168	0.000409578	0.068110018	0.578259339
RETN	-1.057706439	5.631179383	6.066107232	0.000418957	0.069024175	0.556718664
HOXC4	-1.403142662	7.056508122	6.05856053	0.000422232	0.069024175	0.549305744
RASD1	1.402939082	5.861137938	-6.033798902	0.00043318	0.070031452	0.524924181
AP1S2	1.037419908	6.605424399	-6.021173493	0.000438884	0.070031452	0.512457738
PNPLA3	1.158002019	8.074135028	-6.020292492	0.000439285	0.070031452	0.511586951
MAP1A	2.073013474	7.238312807	-5.998757293	0.000449217	0.070078349	0.490265682
PMM1	-0.944721028	10.02423593	5.987296703	0.000454605	0.070078349	0.478890911
KLHL24	-0.887732799	9.031925215	5.984991963	0.000455697	0.070078349	0.476601074
TRAF6	0.910126712	7.243890836	-5.976814428	0.000459596	0.070078349	0.468470048
PDGFB	1.222391386	7.697052377	-5.972358311	0.000461736	0.070078349	0.464035088
SERPINE2	1.118056774	12.87516121	-5.967725829	0.000463972	0.070078349	0.459421467
MMP1	0.993307162	12.06446072	-5.965586336	0.000465009	0.070078349	0.457289607
LINC00339	-1.030358386	7.225151374	5.951958442	0.000471675	0.070202719	0.443694314
TFF1	-1.034538967	8.545057713	5.949046852	0.000473113	0.070202719	0.440786098
SLC4A4	-1.214223073	9.513941531	5.941626659	0.0004768	0.070209685	0.433368779
TAX1BP3	0.972571698	9.786992725	-5.91679324	0.000489372	0.071515092	0.408485085
FAXDC2	-1.065846798	8.786445137	5.872244277	0.000512861	0.073545877	0.363614026
FGL1	-1.114510032	11.52556574	5.870864612	0.000513608	0.073545877	0.362219617
BIVM	-0.873545404	8.977946019	5.868839199	0.000514707	0.073545877	0.360172039
STMN1	-0.994656001	11.86653956	5.831492377	0.000535448	0.075297515	0.322305432
TENT5B	1.317921377	5.965947552	-5.827786716	0.000537556	0.075297515	0.318536683
HSD17B7	1.056397304	8.705578817	-5.825825385	0.000538676	0.075297515	0.316541119
H2BC9	1.127145008	8.602307865	-5.806978582	0.000549567	0.07626721	0.297335591
HMGCR	0.960495331	10.09044324	-5.785771657	0.000562115	0.077451398	0.275660436
EPHB6	1.424448871	6.816742211	-5.764649687	0.00057493	0.07788737	0.254003962
EFR3B	1.665876863	6.48185423	-5.760899702	0.000577239	0.07788737	0.250151959
LHCGR	-1.10721195	5.174920077	5.758683441	0.000578608	0.07788737	0.247874393
FRMD4A	-0.917438003	5.202927322	5.754135194	0.00058143	0.07788737	0.243197982
PHLDA2	0.971471125	9.427962443	-5.704012984	0.000613558	0.081140315	0.191453319
IFIH1	-1.104388395	6.766257808	5.703153147	0.000614126	0.081140315	0.19056228
ESAM	0.963993337	10.35279095	-5.694268904	0.00062003	0.081363079	0.181348984
ANXA9	-1.346673725	7.559031294	5.658705925	0.000644302	0.083976868	0.144346865
MYEOV	0.918487945	10.22198885	-5.633595929	0.000662074	0.085714143	0.118102858
FLJ13224	1.035778456	5.313277785	-5.622017136	0.000670452	0.086220122	0.105968187
CD36	1.126619301	7.437127297	-5.61036656	0.000679001	0.08674122	0.093737247
FADS2	0.994813434	10.94361252	-5.580824077	0.000701225	0.087178348	0.062628345
HSPB8	0.908340221	9.952590828	-5.579147103	0.000702511	0.087178348	0.060858369
RP1L1	-1.217270669	8.047507523	5.578928621	0.000702678	0.087178348	0.060627738
ACSF2	-1.083106537	9.352074055	5.576353868	0.000704658	0.087178348	0.057909251
KIR2DL2	0.997028395	4.959277479	-5.575884261	0.000705019	0.087178348	0.057413316
IDI1	0.993555838	11.07081122	-5.554772769	0.000721494	0.088647208	0.035082636
SIDT2	-0.832293688	9.816908544	5.535384544	0.000737	0.089547882	0.014513244
LSS	1.030018978	8.939851671	-5.534015613	0.000738109	0.089547882	0.013058686
CD22	-0.825389217	10.93090692	5.522551723	0.000747466	0.090116395	0.000866174
CTXN1	1.059690752	8.654930344	-5.51456314	0.000754065	0.090336455	-0.007642359
ZNF845	0.872640091	7.276009049	-5.497306737	0.00076854	0.090336455	-0.026056207
HSD17B2	-0.856715408	9.737425664	5.481060579	0.00078245	0.090336455	-0.043434945
SLC7A9	-0.979089953	7.249199496	5.478240462	0.000784893	0.090336455	-0.046455907
C6orf223	1.391903147	6.92067073	-5.47570314	0.000787098	0.090336455	-0.049175006
H2BC17	0.839935914	9.721638993	-5.473355524	0.000789144	0.090336455	-0.051691714
TNFRSF12A	0.961698679	11.71757955	-5.466937327	0.000794769	0.090336455	-0.058576642
SLC16A4	-0.909853859	12.44562546	5.464467419	0.000796945	0.090336455	-0.061227898
LETM1	0.867125388	10.72847123	-5.461836485	0.000799271	0.090336455	-0.064053063
ABCA7	-1.124742815	7.940844877	5.455712422	0.000804713	0.090336455	-0.070633485
GLI2	1.04334601	7.798777725	-5.449104067	0.000810632	0.090336455	-0.077740947
CCDC71L	0.831199484	8.033195029	-5.447118658	0.00081242	0.090336455	-0.079877659
GEMIN8P4	1.239799619	6.099361091	-5.446018013	0.000813413	0.090336455	-0.08106245
KLHL4	1.196260718	8.230019423	-5.444422512	0.000814854	0.090336455	-0.082780271
ADGRG6	-0.954289689	9.036421433	5.437491279	0.000821151	0.090514249	-0.090247575
STRA6	-0.821504361	10.34605967	5.424042679	0.000833521	0.091355788	-0.10475805
BIRC3	-1.095565323	10.59358936	5.409105893	0.000847503	0.092363426	-0.120907889
MYO5B	0.886994469	11.31293583	-5.40317716	0.000853124	0.092453735	-0.127327945
MSC	0.914096474	11.81636022	-5.396698256	0.000859315	0.092604345	-0.134350163
MVK	1.0823323	9.721217075	-5.383437101	0.000872141	0.093013037	-0.148744236
CACNA2D4	-1.384389655	6.360641313	5.382812048	0.000872751	0.093013037	-0.14942338
LRRC19	-1.040909657	5.161157663	5.34896719	0.000906483	0.094940323	-0.18629024
C6orf141	-0.840623597	9.255989904	5.346988822	0.000908499	0.094940323	-0.188450921
CSF1	1.333234191	10.22245386	-5.344439876	0.000911104	0.094940323	-0.191235683
ZSWIM9	-1.111314315	7.151457866	5.343552096	0.000912013	0.094940323	-0.19220584
ATF3	1.00391081	8.247299298	-5.340211189	0.000915443	0.094940323	-0.195857882
NIPSNAP1	-0.854907343	11.35738225	5.317888318	0.000938733	0.096835099	-0.220305554
NAPB	-0.874017838	8.672537133	5.305520285	0.000951919	0.097318641	-0.233885255
MAN2A2	-1.102723621	8.270533474	5.302328311	0.000955355	0.097318641	-0.237393927
C1RL	-0.899520082	9.561875329	5.299366247	0.000958556	0.097318641	-0.240651344
C1orf116	1.035762612	6.908723908	-5.269875573	0.00099108	0.09957358	-0.273159569
TMEM151B	0.779343919	5.332396003	-5.26822977	0.00099293	0.09957358	-0.2749779
RGS11	-1.428070256	5.948403214	5.265284406	0.000996252	0.09957358	-0.278233114
CDON	-1.304039807	6.607169368	5.258498584	0.001003951	0.099825899	-0.285738126
CXCL14	-0.845952959	5.539743599	5.250546567	0.001013058	0.10021482	-0.294542383
OR2T5	1.094633758	5.322458808	-5.239449485	0.001025919	0.100969307	-0.306845837
PSG5	0.868293127	6.454901857	-5.2251173	0.001042798	0.102109502	-0.322765538
GK	-0.835756061	8.767634721	5.21645375	0.001053149	0.102602286	-0.332404826
BTN3A3	-0.78765603	8.783427472	5.201610784	0.001071149	0.103831512	-0.348947743
PECR	-0.755104708	9.081399966	5.184018905	0.001092924	0.105241565	-0.368600659
PTGIS	-1.103787312	7.703642949	5.18108189	0.001096607	0.105241565	-0.371886662
ZP3	-0.919475951	8.361749085	5.170086968	0.001110516	0.106048828	-0.384200486
CPVL	-0.826373031	10.16851046	5.159357616	0.001124278	0.106578849	-0.396235824
TM4SF5	-0.856042367	9.634136276	5.157162158	0.001127117	0.106578849	-0.398700823
USH1C	-0.916854407	10.60700412	5.152643919	0.001132985	0.106611085	-0.403776241
SYNGR3	1.147439228	5.707253224	-5.145272256	0.00114263	0.106981785	-0.412064096
RAET1G	-1.080778671	8.179573412	5.141186243	0.001148016	0.106981785	-0.416661753
CYP4F22	0.77332602	5.417939613	-5.123409642	0.001171775	0.108017603	-0.436695976
BTN3A1	-0.898889518	8.941696434	5.122364958	0.001173188	0.108017603	-0.437874937
MEGF8	-0.942238668	8.806872893	5.120341697	0.00117593	0.108017603	-0.440158761
ANKRD36B	-0.75631851	9.876041533	5.116086222	0.001181721	0.108035043	-0.444964454
GOLT1A	-0.744872705	7.937935112	5.102571381	0.00120032	0.109217817	-0.460246314
UBD	-1.060169406	10.51062093	5.093467326	0.001213032	0.109856237	-0.470557512
LINC00173	-1.643412768	6.142707047	5.077932736	0.001235066	0.111329066	-0.48818318
PECAM1	-0.96823497	10.38782878	5.068995075	0.001247943	0.111494391	-0.498341814
MANSC1	-0.779175414	11.68919457	5.068638546	0.00124846	0.111494391	-0.49874732
SFN	0.754645511	13.34320942	-5.061871437	0.001258313	0.11185646	-0.506447978
SUN3	0.897844942	5.784410417	-5.042128776	0.001287552	0.11375755	-0.528957097
MICA	0.932513438	8.072126548	-5.035481532	0.001297565	0.11375755	-0.536550174
ANXA3	1.788203801	7.475963694	-5.031931551	0.001302947	0.11375755	-0.540608251
RGS20	0.95237785	6.543413733	-5.031707462	0.001303288	0.11375755	-0.540864483
TOR1AIP2	0.746412913	9.619221144	-5.02648405	0.001311255	0.113937385	-0.546839456
MRTFA	0.833701512	7.269812294	-5.019891676	0.001321386	0.114302864	-0.554386755
ENOSF1	-0.76785711	11.30298245	5.010587057	0.001335833	0.114505867	-0.565051326
TP53BP2	-1.121658948	8.152534125	5.007151301	0.001341212	0.114505867	-0.568992845
HEXD	-0.765051894	6.368876662	5.006941663	0.001341541	0.114505867	-0.569233406
MAN1A1	-0.871332538	9.407765234	4.999797192	0.001352805	0.114808997	-0.577436043
CD163L1	0.944028726	6.587492212	-4.997155993	0.001356996	0.114808997	-0.580470555
MIR570HG	-1.184790515	8.1680578	4.99094768	0.001366903	0.11495582	-0.587607894
EXPH5	-0.940330712	9.027365492	4.983702414	0.001378565	0.11495582	-0.595945379
IL7R	1.611696243	6.151256427	-4.983116569	0.001379513	0.11495582	-0.596619917
C7orf33	-1.176121022	5.157789954	4.97588756	0.001391268	0.11495582	-0.604948003
ADGRL1	-1.209153294	8.652857951	4.97579704	0.001391415	0.11495582	-0.60505234
RPS6KA4	1.156925642	7.676429546	-4.971708386	0.001398113	0.11495582	-0.609766492
TSPAN5	0.762037867	10.79019698	-4.96976707	0.001401306	0.11495582	-0.612005762
CYP51A1	0.824608854	10.77157154	-4.966492733	0.001406709	0.11495582	-0.615784052
LMCD1	0.83819971	9.840967538	-4.962969866	0.001412548	0.11495582	-0.619851098
CILP	-0.749479694	5.534093451	4.959500325	0.001418325	0.11495582	-0.623858578
TBC1D8B	-0.979491991	7.132177047	4.934138458	0.001461351	0.117601035	-0.653213001
C4BPB	-0.982577085	8.717696013	4.930747027	0.001467212	0.117601035	-0.65714637
KIFAP3	0.739729069	11.73723686	-4.927630118	0.001472623	0.117601035	-0.660763022
ITGB1BP2	1.054929828	5.716322038	-4.926065071	0.001475347	0.117601035	-0.662579602
SOX1	-0.914091804	4.909528487	4.920963166	0.001484269	0.117684549	-0.668504291
IMMP2L	-0.92013013	9.109782679	4.915584232	0.001493739	0.117684549	-0.674755342
MIF4GD	-0.840828114	8.543036119	4.915041634	0.001494697	0.117684549	-0.675386179
ACAT2	0.759101613	9.854345903	-4.908124176	0.001506983	0.118169506	-0.683432851
SKAP2	-0.844141936	12.0772101	4.893746674	0.001532875	0.118974891	-0.700182656
EXD3	0.924383632	8.545167401	-4.876556277	0.001564477	0.118974891	-0.720254363
SNAI2	1.770628126	7.440859472	-4.87327047	0.001570599	0.118974891	-0.724096476
MMUT	-0.912279598	10.12217585	4.871349334	0.00157419	0.118974891	-0.726343699
SPOCD1	1.123620002	8.037126387	-4.870201985	0.00157634	0.118974891	-0.727686087
FOXN3	-0.831539896	9.391624259	4.869453423	0.001577744	0.118974891	-0.728562015
FRMPD2	-0.868984165	5.82488231	4.86875753	0.00157905	0.118974891	-0.729376395
CISH	1.080964675	7.035107898	-4.868349811	0.001579816	0.118974891	-0.729853574
ATP6V0A2	0.717919022	9.722941382	-4.868325791	0.001579861	0.118974891	-0.729881686
SSUH2	1.020297519	5.938107429	-4.865805887	0.001584604	0.118974891	-0.732831499
RALBP1	0.831696797	8.582815977	-4.859193386	0.001597126	0.118974891	-0.740577125
ICAM1	-0.831900927	12.72567867	4.852553563	0.00160981	0.118974891	-0.748362043
GPR137B	-0.793807111	10.14900363	4.845241408	0.001623906	0.118974891	-0.756943695
BRWD3	-0.79488884	9.397329353	4.844044945	0.001626225	0.118974891	-0.758348724
PGM5	0.791938258	9.662214136	-4.84127304	0.001631612	0.118974891	-0.761604738
AMT	-1.145521758	6.056948881	4.8392825	0.001635493	0.118974891	-0.763943708
FOXA1	-0.924486025	8.740438768	4.8384019	0.001637213	0.118974891	-0.76497866
TBC1D24	-0.742283162	8.883075739	4.837065217	0.001639828	0.118974891	-0.766549884
CSTA	-0.867820034	7.7007187	4.829844893	0.001654033	0.118974891	-0.775042243
SPANXC	0.987283459	11.86440992	-4.828468296	0.001656756	0.118974891	-0.776662341
STARD7-AS1	0.895482084	5.433227766	-4.826681412	0.001660298	0.118974891	-0.77876577
ID3	0.953565357	11.41177796	-4.824637282	0.001664361	0.118974891	-0.781172665
SLC47A1	-0.758515795	8.386204562	4.823276843	0.001667071	0.118974891	-0.782774922
MBD3L1	-0.801658828	4.964663254	4.82248483	0.001668651	0.118974891	-0.783707855
UTS2	-1.152794477	6.588033051	4.814993899	0.001683676	0.118974891	-0.792536776
RSRP1	1.095425661	7.885314216	-4.813651966	0.001686383	0.118974891	-0.794119382
H2BC5	0.853167968	9.781237292	-4.813323879	0.001687046	0.118974891	-0.794506355
ACOT1	0.780471601	9.667780709	-4.81188784	0.001689949	0.118974891	-0.796200354
OR5B12	0.833962095	4.943149169	-4.805232621	0.001703478	0.119019361	-0.804055533
SLC51B	-1.325581125	8.569202199	4.804101385	0.001705789	0.119019361	-0.805391466
ENTPD5	-0.69924834	10.51148138	4.80195755	0.001710179	0.119019361	-0.80792381
HSPH1	0.900632456	10.42279186	-4.798266637	0.001717766	0.119019361	-0.812285382
TMEM198B	-0.829306948	8.713294611	4.792137341	0.001730447	0.119019361	-0.819533402
TOX	0.939276173	6.482221731	-4.791044809	0.001732718	0.119019361	-0.820826
DHCR7	0.796236683	10.7366667	-4.786526374	0.001742146	0.119019361	-0.826173957
ST3GAL5	-0.714529225	11.68178794	4.785134037	0.001745063	0.119019361	-0.827822591
PYGL	-0.824097216	10.88928097	4.784634187	0.001746111	0.119019361	-0.82841453
EXOC3-AS1	0.780931424	5.879747122	-4.781386252	0.00175294	0.11906411	-0.832261856
HSD17B7P2	0.928719357	8.085943306	-4.769560308	0.001778053	0.119683743	-0.846285028
CAST	-0.785462905	12.62025368	4.769412479	0.00177837	0.119683743	-0.846460471
FAM227B	-0.74411474	5.567290413	4.768335976	0.001780676	0.119683743	-0.847738164
DPAGT1	-0.710551205	10.46987642	4.760462509	0.001797643	0.120382026	-0.857088985
CROCCP3	-0.940871297	8.08970762	4.756029782	0.001807273	0.120382026	-0.862357989
CHORDC1	0.838196398	11.29470117	-4.754404568	0.001810818	0.120382026	-0.864290634
TM4SF19	0.683141403	11.6791044	-4.751986571	0.001816107	0.120382026	-0.867166839
ULK2	-0.997689181	5.834158474	4.749179168	0.001822268	0.120382026	-0.87050746
SPANXD	0.739057304	12.36832048	-4.743715834	0.001834325	0.120671326	-0.877012219
GIT1	1.013546122	9.729927606	-4.741536496	0.001839159	0.120671326	-0.879608369
MKNK2	-0.745767776	11.21210947	4.738273491	0.001846422	0.120737243	-0.883496919
CDH8	0.756601924	5.488189851	-4.732365279	0.001859655	0.121191696	-0.89054229
SRGN	1.000450763	10.0851395	-4.728241747	0.001868952	0.121387488	-0.895462922
ADGRB3	-0.972732979	5.589930042	4.719331564	0.001889216	0.122291891	-0.906105145
PLEKHM1P1	-0.836815718	7.886082635	4.711142423	0.001908054	0.122624222	-0.91589781
SNAPC2	0.839866199	9.003308676	-4.710099378	0.001910468	0.122624222	-0.917145895
ADGRF1	1.201779305	8.080033417	-4.703658082	0.001925451	0.122624222	-0.924857425
ACTL10	1.079710136	6.538042694	-4.701295973	0.001930978	0.122624222	-0.927687076
LMBRD1	-0.891632649	10.39846505	4.700918308	0.001931863	0.122624222	-0.928139579
DHTKD1	-0.920257842	9.800264505	4.700650207	0.001932492	0.122624222	-0.928460821
CYB5A	-0.942542346	11.70204944	4.695218134	0.001945279	0.123030896	-0.934972192
GPR21	0.924392044	4.832922887	-4.675345772	0.001992856	0.125201385	-0.95883483
OVOS2	-0.728940926	7.188395031	4.670219401	0.002005335	0.125201385	-0.965001218
PIGZ	-0.941058206	7.334254538	4.670089616	0.002005652	0.125201385	-0.965157389
CALCOCO1	-0.700204596	9.292357554	4.670023521	0.002005814	0.125201385	-0.965236924
ADGRF4	1.458334761	6.651099773	-4.663067174	0.00202289	0.125201385	-0.973611766
MERTK	0.680470861	10.29064731	-4.662338639	0.002024688	0.125201385	-0.974489326
MTRES1	-0.876628891	7.363982497	4.662199911	0.00202503	0.125201385	-0.974656441
STEAP2	-0.720539306	11.08348878	4.655727132	0.002041082	0.125206237	-0.982457279
DMP1	-1.08034559	5.889036491	4.652277381	0.002049693	0.125206237	-0.986617685
GPC1	0.838112152	9.2420471	-4.650424926	0.002054334	0.125206237	-0.988852568
SLC25A35	-0.822519372	10.22149764	4.649113337	0.002057627	0.125206237	-0.990435271
GLS	0.740085729	9.181504014	-4.646844075	0.002063338	0.125206237	-0.993174281
OAF	0.696091153	8.925687027	-4.641993066	0.002075605	0.125206237	-0.999032347
ULBP2	-1.173973147	7.973431833	4.640952441	0.002078246	0.125206237	-1.000289514
LAD1	-0.742248241	10.20917852	4.639486365	0.002081975	0.125206237	-1.002060968
